% Kuuujjuak, Québec
% Températures mensuelles moyennes de juillet
% Latitude 58° 6' N, longitude 68° 25' O
% Élévation 39.30 m au-dessus du niveau de la mer
% T (°C)  Année
11.3   % 1947 (juillet)
11.5   % 1948
11.0   % 1949
10.0   % 1950
11.8   % 1951
12.0   % 1952
13.6   % 1953
12.0   % 1954
11.2   % 1955
11.9   % 1956
11.3   % 1957
12.8   % 1958
14.0   % 1959
11.1   % 1960
10.9   % 1961
12.6   % 1962
10.6   % 1963
10.6   % 1964
9.4    % 1965
10.0   % 1966
10.9   % 1967
10.6   % 1968
11.4   % 1969
10.7   % 1970
11.6   % 1971
9.9    % 1972
11.0   % 1973
13.3   % 1974
11.7   % 1975
12.1   % 1976
10.1   % 1977
10.5   % 1978
11.1   % 1979
11.0   % 1980
12.2   % 1981
11.5   % 1982
9.6    % 1983
10.9   % 1984
12.3   % 1985
11.0   % 1986
9.7    % 1987
11.1   % 1988
10.5   % 1989
11.9   % 1990
12.7   % 1991
10.6   % 1992
13.6   % 1993
11.8   % 1994
13.0   % 1995
11.4   % 1996
9.9    % 1997
13.2   % 1998
12.4   % 1999
13.7   % 2000
12.6   % 2001
12.0   % 2002
12.9   % 2003
12.5   % 2005
13.2   % 2006 (juillet)
