% Janvier 2008,  Station(Sherbrooke A), latitude(45.43), longitude(-71.68), altitude(241.40 m)
% Température °C, une rangée = 1 jour, les colonnes = de 1h à 24h
%   1h    2h    3h    4h    5h    6h    7h    8h    9h   10h   11h   12h   13h   14h   15h   16h   17h   18h   19h   20h   21h   22h   23h   24h
  -5.4  -5.8  -5.4  -5.0  -5.2  -6.0  -6.1  -5.5  -4.9  -4.0  -3.3  -2.6  -3.1  -3.4  -3.3  -3.4  -3.3  -3.5  -3.6  -3.8  -4.0  -4.4  -4.4  -4.5
  -4.4  -4.8  -5.6  -6.4  -8.2  -9.3 -10.2 -14.0 -15.3 -16.6 -17.8 -18.0 -17.6 -17.8 -18.4 -18.6 -20.7 -19.8 -20.4 -19.6 -20.0 -20.4 -21.8 -21.3
 -22.6 -22.9 -22.7 -24.5 -24.9 -23.9 -25.1 -25.5 -23.9 -22.4 -21.9 -21.3 -20.6 -20.0 -19.7 -19.8 -23.9 -24.3 -27.0 -28.8 -27.7 -27.4 -26.7 -27.4
 -25.0 -23.5 -21.5 -20.3 -19.1 -18.4 -17.0 -15.9 -13.7 -10.2  -8.8  -8.1  -7.3  -6.8  -6.4  -6.0  -6.0  -5.8  -5.7  -5.5  -5.3  -5.2  -5.0  -5.2
  -4.8  -4.6  -4.4  -4.4  -4.8  -4.1  -3.8  -3.8  -3.8  -3.2  -2.4  -1.7  -1.2  -1.1  -1.3  -1.3  -1.4  -2.1  -1.6  -1.9  -2.4  -2.2  -2.3  -2.1
  -2.3  -2.4  -2.4  -2.1  -1.6  -1.3  -1.2  -0.4   0.2   0.6   1.0   1.5   1.6   1.9   2.3   1.0   0.9   1.3   0.6   2.0   2.3   0.9   1.8   1.6
   1.4   2.5   2.5   1.6   1.1   1.9   1.9   1.6   3.3   2.6   3.8   4.8   4.4   3.3   4.0   4.5   6.0   6.7   6.5   6.9   4.4   3.7   4.8   5.2
   4.5   4.5   3.8   7.2   6.3   8.6   8.4   8.8   8.9   8.5   9.5   9.0   8.5   7.8   7.3   5.5   4.8   4.6   4.4   5.3   3.4   5.8   5.6   5.4
   9.8   7.4   9.7   6.5   6.7   8.0  11.6  11.2  10.4  10.5  11.3   9.0   8.2   6.9   5.8   5.8   4.9   4.2   3.8   3.9   3.6   3.5   3.3   3.1
   2.6   2.5   2.1   1.6   1.3   0.8   0.9   0.7   0.6   0.7   0.9   0.6   0.5   0.2  -0.2  -0.5  -1.1  -2.0  -2.0  -2.7  -4.3  -4.2  -3.3  -4.2
